esperanto,kanji,priority,source_root,source_line
spaget,面ˢᴾ,0,spaget,4092
fonet,音ᶠᴼ,0,fonet,3545
klimaks,顶ᴷᴷ,0,klimaks,1746
vertic,顶ⱽᶜ,0,vertic,1743
arkegoni,颈卵器,0,arkegoni,7034
topik,题ᵀᴾ,0,topik,3352
titol,题ᵀᵀ,0,titol,3349
tez,题ᵀᶻ,0,tez,3351
faci,颜ᶠᶜ,0,faci,1300
kontingent,额ᴷᴺ,0,kontingent,3580
ventol,风ⱽᴸ,0,ventol,1292
hiacint,风信子,0,hiacint,7586
dekor,饰ᴰᴱ,0,dekor,3273
pasament,饰带ᴾ,0,pasament,6531
satur,饱ˢᴿ,0,satur,1636
kraken,饼ᴷᴷ,0,kraken,4178
bergamot,香柑ᴮ,0,bergamot,6074
latir,香豌豆,0,latir,6036
replik,驳ᴿᴾ,0,replik,4659
empiri,验ᴱᴹ,0,empiri,1762
truk,骗ᵀᴷ,0,truk,3060
ĉarlatan,骗ᶜ̂,0,c^arlatan,3062
medol,髓ᴹᴰ,0,medol,5511
altitud,高ᴬᵀ,0,altitud,706
aŭtoklav,高压锅,0,au^toklav,7162
satan,魔ˢᵀ,0,satan,3811
demon,魔ᴰᴹ,0,demon,3812
serasalm,鱼ˢˢ,0,serasalm,1499
simbrank,鱼ˢᴬ,0,simbrank,1494
sebast,鱼ˢᴮ,0,sebast,1482
silur,鱼ˢᴵ,0,silur,1446
skombr,鱼ˢᴷ,0,skombr,1448
salvelen,鱼ˢᴸ,0,salvelen,1498
salm,鱼ˢᴹ,0,salm,1439
salmon,鱼ˢᴺ,0,salmon,1475
spar,鱼ˢᴾ,0,spar,1443
seran,鱼ˢᴿ,0,seran,1462
surmulet,鱼ˢᵀ,0,surmulet,1500
skvaten,鱼ˢⱽ,0,skvaten,1493
akantias,鱼ᴬᴷ,0,akantias,1495
acipenser,鱼ᴬᴾ,0,acipenser,1501
anarik,鱼ᴬᴿ,0,anarik,1478
anchov,鱼ᴬᶜ,0,anchov,1451
barbi,鱼ᴮᴮ,0,barbi,1463
blakbas,鱼ᴮᴸ,0,blakbas,1486
brosm,鱼ᴮᴹ,0,brosm,1465
bonit,鱼ᴮᴺ,0,bonit,1464
bops,鱼ᴮᴾ,0,bops,1456
ekzocet,鱼ᴱᴷ,0,ekzocet,1488
eperlan,鱼ᴱᴾ,0,eperlan,1489
gad,鱼ᴳᴰ,0,gad,1434
iktio,鱼ᴵᴷ,0,iktio,1460
kobitid,鱼ᴷᴮ,0,kobitid,1449
kondrostom,鱼ᴷᴰ,0,kondrostom,1502
kalmar,鱼ᴷᴹ,0,kalmar,1476
kongr,鱼ᴷᴺ,0,kongr,1467
korifen,鱼ᴷᴿ,0,korifen,1485
