difeomorfi,微分同胚ᴰᴵ
aŭbrieti,草ᴬᵁ̆
baŝo,草ᴮˢ̂
eŝolzi,草ᴱˢ̂
helode,草ᴴᴱᴸ
hidrast,草ᴴᴵᴰ
ksantosom,草ᴷˢᴬ
kalamint,草ᴷᴬᴸ
kamemor,草ᴷᴬᴹ
katarant,草ᴷᴬᵀ
klematit,草ᴷᴸᴱ
kolokasi,草ᴷᴼᴸ
komelin,草ᴷᴼᴹ
konsolid,草ᴷᴼᴺ
koridal,草ᴷᴼᴿ
kroton,草ᴷᴿᴼ
kuskut,草ᴷᵁˢ
knaŭti,草ᴷᵁ̆
leŭkoj,草ᴸᵁ̆
pasiflor,草ᴾᴬˢ
pankraci,草ᴾᴬᴺ
parietari,草ᴾᴬᴿ
pedikular,草ᴾᴱᴰ
persikari,草ᴾᴱᴿ
pingvikul,草ᴾᴵᴺ
plektrant,草ᴾᴸᴱ
pogostemon,草ᴾᴼᴳ
poligonat,草ᴾᴼᴸ
pontederi,草ᴾᴼᴺ
pulsatil,草ᴾᵁᴸ
raŭvolfi,草ᴿᵁ̆
teŭkri,草ᵀᵁ̆
centaŭri,草ᶜᵁ̆
kolokint,药瓜ᴷᴷ
eŭpatori,菊ᴱᵁ̆
leŭkant,菊ᴸᵁ̆
aŭrikulari,菌ᴬᵁ̆
pleŭrot,菌ᴾᵁ̆
micetologi,菌学ᴹᶜ
bakteriolog,菌学家ᴮ
fungolog,菌学家ᶠ
rap,萝卜ᴿᴾ
stafilokok,葡萄球菌
uveit,葡萄膜炎
kaŭlerp,藻ᴷᵁ̆
bangiofic,藻藻ᴮᴼ
aĥeronti,虫ᴬᴴ̂
aleŭrod,虫ᴬᵁ̆
braĥin,虫ᴮᴴ̂
eĥinokok,虫ᴱᴴ̂
liĝe,虫ᴸᴳ̂
kaŭstik,蚀ᴷᵁ̆
proteid,蛋白ᴾᴰ
leksikolog,词汇学家
kateĥiz,诲ᴷᴴ̂
spektroskopi,谱镜ˢᴵ
stadium,赛场ˢᴹ
hiperestezi,超感ᴴᴵ
kondr,软骨ᴷᴺ
telefoni,远声ᵀᴵ
rekursi,递归ᴿˢ
jahurt,酸乳ᴶᴴ
eŭropi,金ᴱᵁ̆
laŭrenci,金ᴸᵁ̆
osmiat,金盐ᴼˢ
tantalat,金盐ᵀᴺ
plumbit,铅盐ᴾᴵ
stanit,锡盐ˢᴵ
stroboskopi,闪镜ˢᴵ
taĉment,队ᵀᶜ̂
vaginism,阴道主义
pluvometr,雨计ᴾᴼ
alabastr,雪花石膏
seismologi,震学ˢᴱ
seismograf,震记ˢᴱ
cianofit,青植ᶜᴼ
penicilinoterapi,青霉素疗
budĝet,预算ᴮᴰ
reŭmatism,风湿主义
reŭmatolog,风湿学家
faeton,马车ᶠᵀ
ekzorciz,驱魔ᴱᶻ
osteopati,骨病ᴼᴱ
medolit,髓炎ᴹᴰ
mjelopati,髓病ᴹᴶ
medolopati,髓病ᴹᴼ
altometr,高计ᴬᴼ
anĉov,鱼ᴬᶜ̂
iĥtio,鱼ᴵᴴ̂
leŭcisk,鱼ᴸᵁ̆
merluĉ,鱼ᴹᶜ̂
perĉ,鱼ᴾᶜ̂
traĥin,鱼ᵀᴴ̂
aŭk,鸟ᴬᵁ̆
koturn,鸟ᴷᴼᵀ
krakt,鸟ᴷᴿᴬ
kurl,鸟ᴷᵁᴿ
poliplektr,鸟ᴾᴼᴸ
ptilonorink,鸟ᴾᵀᴵ
ĉifĉaf,鸟ᶜ̂ᶠ
kasuar,鹤鸵ᴷˢ
doliĥot,鼠ᴰᴴ̂
hidroĥer,鼠ᴴᴴ̂
moloĥ,龙ᴹᴴ̂
karen,龙骨ᴷᴿ
kariofil,丁香ᴷ
lilak,丁香ᴸ
kalejdoskop,万花筒
terciar,三ᵀᶜ
trilobit,三叶受
trisakarid,三蔗子
delt,三角洲
trimer,三链节
super,上ˢᴾ
epiteliom,上皮瘤
subaltern,下ˢᴸ
sob,下ˢᴼ
agnostik,不可知
pulĉinel,丑ᴾᴸ
aŭtokrat,专制ᴬ
oriental,东ᴼᴸ
orientalism,东主义
orientolog,东学家
filigran,丝ᶠᴳ
filament,丝ᶠᴸ
serioz,严ˢᴿ
strikt,严ˢᵀ
individual,个ᴵᴸ
individualism,个主义
median,中ᴹᴰ
mezant,中ᴹᵀ
neŭtr,中ᴺᴱ
neŭtron,中子ᴺ
neŭtrin,中微子
mezolitik,中石学
senjor,主ˢᴺ
subjektiv,主ˢⱽ
precip,主ᴾᶜ
aortit,主脉炎
optim,乐ᴼᴾ
hedonism,乐主义
optimist,乐家ᴼ
perpleks,乱ᴾᴿ
papilom,乳头瘤
mastoidit,乳突炎
biceps,二头肌
dikotiledon,二子叶
diod,二极管
dioksid,二氧化
diazotat,二氮盐
diklorid,二氯化
disulfid,二硫化
disakarid,二蔗子
dikromiat,二金盐
dimer,二链节
nef,云ᴺᶠ
lentan,五色梅
hipotalam,亚丘脑
hipokondr,亚软骨
hipotenar,亚鱼际
simpatektomi,交感除
antropolog,人学家
sapot,人心果
margarin,人造油
vendet,仇ⱽᴰ
dielektrik,介电ᴰ
dielektrikmetr,介电计
demoraliz,从德化
deoksioz,从氧糖
altruism,他主义
kakt,仙人掌
agent,代ᴬᴳ
prokur,代ᴾᴷ
mimik,仿ᴹᴷ
sfenisk,企鹅ˢ
simpozi,会ˢᴹ
kolokv,会ᴷᴸ
konferenc,会ᴷᶠ
skandik,伞ˢᴷ
selin,伞ˢᴸ
sanikl,伞ˢᴺ
sizar,伞ˢᴿ
