difeomorfi,微分同胚ᴰᴵ
galeops,草ᴳᴸ
gomb,草ᴳᴹ
gnidi,草ᴳᴺ
glosopterid,草ᴳᴾ
gesneri,草ᴳᴿ
gratiol,草ᴳᵀ
glorioz,草ᴳᶻ
holost,草ᴴˢ
hidrokarit,草ᴴᴬ
hesperid,草ᴴᴰ
helikoni,草ᴴᴱ
harpagofit,草ᴴᴳ
hidrastid,草ᴴᴵ
holk,草ᴴᴷ
helebor,草ᴴᴸ
humul,草ᴴᴹ
hemant,草ᴴᴺ
hordelim,草ᴴᴼ
hipurid,草ᴴᴾ
herniari,草ᴴᴿ
hipeastr,草ᴴᵀ
halofit,草ᴴᶠ
isat,草ᴵˢ
iberis,草ᴵᴮ
izolepid,草ᴵᴸ
imortel,草ᴵᴹ
isolep,草ᴵᴼ
ipome,草ᴵᴾ
impatient,草ᴵᵀ
izatid,草ᴵᶻ
kareks,草ᴷˢ
kala,草ᴷᴬ
kaladi,草ᴷᴰ
kalate,草ᴷᴱ
kalamagrostid,草ᴷᴳ
keir,草ᴷᴵ
krokiz,草ᴷᴷ
kokleari,草ᴷᴸ
kleom,草ᴷᴹ
kenopodi,草ᴷᴺ
korkor,草ᴷᴼ
katari,草ᴷᴿ
kalt,草ᴷᵀ
krinum,草ᴷᵁ
kalceolari,草ᴷᶜ
krozofor,草ᴷᶠ
kolokazi,草ᴷᶻ
litops,草ᴸˢ
logani,草ᴸᴬ
labrusk,草ᴸᴮ
leguzi,草ᴸᴱ
lige,草ᴸᴳ
lentibulari,草ᴸᴵ
levkoj,草ᴸᴷ
loli,草ᴸᴸ
litrum,草ᴸᴹ
linari,草ᴸᴺ
limoni,草ᴸᴼ
lepidi,草ᴸᴾ
litosperm,草ᴸᴿ
latre,草ᴸᵀ
luzul,草ᴸᶻ
lavandul,草ᴸⱽ
misĥant,草ᴹˢ
marubi,草ᴹᴮ
moldavik,草ᴹᴰ
meniant,草ᴹᴱ
martagon,草ᴹᴳ
manihot,草ᴹᴴ
mirabil,草ᴹᴵ
molini,草ᴹᴸ
monard,草ᴹᴺ
monster,草ᴹᴼ
menisperm,草ᴹᴾ
marant,草ᴹᴿ
matiol,草ᴹᵀ
mezembriant,草ᴹᶻ
nasturti,草ᴺˢ
niktag,草ᴺᴷ
nepent,草ᴺᴺ
nopal,草ᴺᴼ
nardostaki,草ᴺᴿ
nepet,草ᴺᵀ
nasturci,草ᴺᶜ
orobank,草ᴼᴮ
ornitogal,草ᴼᴳ
oronti,草ᴼᴼ
opunti,草ᴼᴾ
oriz,草ᴼᴿ
pense,草ᴾˢ
patienc,草ᴾᴬ
pedali,草ᴾᴰ
potentil,草ᴾᴱ
poligal,草ᴾᴳ
paroniki,草ᴾᴵ
perilj,草ᴾᴶ
pankrati,草ᴾᴷ
plumbag,草ᴾᴸ
polemoni,草ᴾᴹ
panak,草ᴾᴺ
poliant,草ᴾᴼ
papav,草ᴾᴾ
paris,草ᴾᴿ
pejotl,草ᴾᵀ
portulak,草ᴾᵁ
pecaj,草ᴾᶜ
psilofit,草ᴾᶠ
pozidoni,草ᴾᶻ
papaver,草ᴾⱽ
rafanistr,草ᴿˢ
rubi,草ᴿᴮ
read,草ᴿᴰ
rumeks,草ᴿᴷ
rami,草ᴿᴹ
ranunkol,草ᴿᴺ
rapunkol,草ᴿᴾ
rinant,草ᴿᵀ
reum,草ᴿᵁ
raflezi,草ᴿᶠ
taps,草ᵀˢ
tradeskanti,草ᵀᴰ
tormentil,草ᵀᴱ
tetragoni,草ᵀᴳ
timele,草ᵀᴵ
trakeli,草ᵀᴷ
tlasp,草ᵀᴸ
tam,草ᵀᴹ
tilandsi,草ᵀᴺ
troli,草ᵀᴼ
trap,草ᵀᴾ
trili,草ᵀᴿ
taliktr,草ᵀᵀ
tife,草ᵀᶠ
tazet,草ᵀᶻ
utrikulari,草ᵁᵀ
cerasti,草ᶜˢ
cimbopogon,草ᶜᴮ
cinodont,草ᶜᴰ
centrant,草ᶜᴱ
cinoglos,草ᶜᴳ
cimbalari,草ᶜᴹ
cinar,草ᶜᴺ
ciper,草ᶜᴾ
circe,草ᶜᴿ
citin,草ᶜᵀ
cimicifug,草ᶜᶜ
ceratofil,草ᶜᶠ
cinozur,草ᶜᶻ
fraksinel,草ᶠˢ
falarid,草ᶠᴰ
fragari,草ᶠᴳ
fikari,草ᶠᴵ
floks,草ᶠᴷ
fitolak,草ᶠᴸ
filodendr,草ᶠᴺ
filipendul,草ᶠᴾ
formi,草ᶠᴿ
fiteŭm,草ᶠᵀ
frezi,草ᶠᶻ
zoster,草ᶻˢ
zigofil,草ᶻᴳ
verbask,草ⱽᴮ
vakari,草ⱽᴷ
valerianel,草ⱽᴸ
veronik,草ⱽᴺ
vincetoksik,草ⱽᶜ
verbezen,草ⱽᶻ
preri,草原ᴾ
razen,草坪ᴿ
vagabond,荡ⱽᴮ
farmaci,药ᶠᶜ
farmakolog,药学家
skolim,菊ˢᴷ
silib,菊ˢᴸ
seratul,菊ˢᴿ
agerat,菊ᴬᴳ
ajapan,菊ᴬᴶ
antenari,菊ᴬᴺ
arkte,菊ᴬᴿ
buftalm,菊ᴮᶠ
balzamit,菊ᴮᶻ
erigeron,菊ᴱᴿ
grindeli,菊ᴳᴿ
ksanti,菊ᴷˢ
kardu,菊ᴷᴰ
kamemel,菊ᴷᴸ
kompozit,菊ᴷᴹ
koniz,菊ᴷᴺ
kosmos,菊ᴷᴼ
koreops,菊ᴷᴾ
kartam,菊ᴷᵀ
leontodon,菊ᴸᴺ
lapsan,菊ᴸᴾ
matrikari,菊ᴹᵀ
pilozel,菊ᴾᴸ
parteni,菊ᴾᴺ
prenantes,菊ᴾᴿ
ptarmik,菊ᴾᵀ
tragopogon,菊ᵀᴬ
taget,菊ᵀᴳ
topinambur,菊ᵀᴺ
tragopog,菊ᵀᴾ
taraksak,菊ᵀᴿ
cinerari,菊ᶜᴺ
ŝitak,菌ˢ̂
skizofit,菌ˢᴷ
sporotrikum,菌ˢᴹ
sporotrik,菌ˢᴾ
strofari,菌ˢᵀ
armilari,菌ᴬᴿ
bakter,菌ᴮᴬ
botrit,菌ᴮᴿ
botul,菌ᴮᵀ
bacil,菌ᴮᶜ
boviste,菌ᴮⱽ
ecidi,菌ᴱᴰ
entolom,菌ᴱᴺ
erizif,菌ᴱᴿ
giromitr,菌ᴳᴿ
higrocib,菌ᴴᴳ
higrofor,菌ᴴᴿ
hifolom,菌ᴴᶠ
kolibi,菌ᴷᴮ
klitocib,菌ᴷᴸ
kandid,菌ᴷᴺ
kortinari,菌ᴷᴼ
kopren,菌ᴷᴾ
kortici,菌ᴷᴿ
kraterel,菌ᴷᵀ
klavari,菌ᴷⱽ
lepist,菌ᴸˢ
lobari,菌ᴸᴮ
likoperd,菌ᴸᴷ
lekanor,菌ᴸᴺ
lepiot,菌ᴸᴾ
laktari,菌ᴸᴿ
leptospir,菌ᴸᵀ
lecide,菌ᴸᶜ
marasmi,菌ᴹˢ
miceli,菌ᴹᴱ
mikot,菌ᴹᴵ
morkel,菌ᴹᴷ
meruli,菌ᴹᴸ
micen,菌ᴹᴺ
monili,菌ᴹᴼ
mukor,菌ᴹᴿ
macutak,菌ᴹᵀ
micet,菌ᴹᶜ
mikoriz,菌ᴹᶻ
peronospor,菌ᴾˢ
penicili,菌ᴾᴵ
paksil,菌ᴾᴷ
plute,菌ᴾᴸ
plasmopar,菌ᴾᴹ
penicil,菌ᴾᴺ
polipor,菌ᴾᴾ
parmeli,菌ᴾᴿ
pukcini,菌ᴾᶜ
rokcel,菌ᴿᴷ
rocel,菌ᴿᶜ
rizokarp,菌ᴿᶻ
trikolom,菌ᵀᴷ
tremel,菌ᵀᴹ
umbilikari,菌ᵁᴹ
ustilag,菌ᵁᵀ
ĉampinjon,菌ᶜ̂
fungus,菌ᶠˢ
foliot,菌ᶠᴸ
fistulin,菌ᶠᵀ
fitoftor,菌ᶠᶠ
volvariel,菌ⱽᴸ
bakteriologi,菌学ᴮ
fungologi,菌学ᶠ
mikolog,菌学家
baktericid,菌杀ᴮ
amarant,菜ᴬᴹ
brokol,菜ᴮᴷ
lap,菜ᴸᴾ
jakv,菠萝蜜
karoten,萝卜素
luciol,萤ᴸᶜ
batalion,营ᴮᵀ
kantonment,营ᴷᴺ
kvartir,营ᴷⱽ
signifikanc,著ˢᴺ
uve,葡萄膜
ŝalot,葱ˢ̂
ampelopraz,葱ᴬᴹ
safran,藏红花
balanit,藤壶炎
klamidomonad,藻ᴷᴰ
klorel,藻ᴷᴸ
kombu,藻ᴷᴹ
koralin,藻ᴷᴺ
undari,藻ᵁᴺ
fic,藻ᶠᶜ
volvok,藻ⱽᴸ
algolog,藻学家
bangific,藻藻ᴮ
ulvofic,藻藻ᵁ
tortur,虐ᵀᵀ
fiktiv,虚ᶠᵀ
virtual,虚ⱽᴿ
sarkopsil,虫ˢˢ
simuli,虫ˢᴹ
spatang,虫ˢᴾ
sarkopt,虫ˢᴿ
saturni,虫ˢᵀ
afis,虫ᴬˢ
afrodit,虫ᴬᴰ
akeronti,虫ᴬᴵ
arkti,虫ᴬᴷ
alcioni,虫ᴬᴸ
anobi,虫ᴬᴺ
atropos,虫ᴬᴾ
argonaŭt,虫ᴬᴿ
antedon,虫ᴬᵀ
afid,虫ᴬᶠ
alveolin,虫ᴬⱽ
bostrik,虫ᴮˢ
blapt,虫ᴮᴾ
brakin,虫ᴮᴿ
buprest,虫ᴮᵀ
demodeks,虫ᴰᴹ
dermest,虫ᴰᴿ
difilobotri,虫ᴰᶠ
drozofil,虫ᴰᶻ
ekinokok,虫ᴱᴷ
elater,虫ᴱᴸ
elatr,虫ᴱᵀ
elafr,虫ᴱᶠ
geris,虫ᴳˢ
goliat,虫ᴳᴸ
glosin,虫ᴳᴺ
gordi,虫ᴳᴿ
ikneŭmon,虫ᴵᴷ
ip,虫ᴵᴾ
ksestobi,虫ᴷˢ
karab,虫ᴷᴮ
koriks,虫ᴷᴷ
kalosom,虫ᴷᴸ
kopris,虫ᴷᴾ
krizomel,虫ᴷᴿ
katokal,虫ᴷᵀ
kokcinel,虫ᴷᶜ
krizop,虫ᴷᶻ
libel,虫ᴸᴮ
leptinotars,虫ᴸᴺ
lept,虫ᴸᴾ
licen,虫ᴸᶜ
makaon,虫ᴹᴷ
mant,虫ᴹᴺ
nere,虫ᴺᴱ
nekrofor,虫ᴺᴷ
nereid,虫ᴺᴿ
notonekt,虫ᴺᵀ
oksiur,虫ᴼᴷ
piral,虫ᴾᴿ
taban,虫ᵀᴮ
trogi,虫ᵀᴳ
trombidi,虫ᵀᴹ
tenebri,虫ᵀᴺ
tipul,虫ᵀᴾ
trips,虫ᵀᴿ
tortrik,虫ᵀᵀ
ĉik,虫ᶜ̂
cecidomi,虫ᶜᴰ
cerambik,虫ᶜᴹ
cerkari,虫ᶜᴿ
cetoni,虫ᶜᵀ
cicindel,虫ᶜᶜ
flebotom,虫ᶠᴮ
falen,虫ᶠᴸ
frigan,虫ᶠᴿ
fuzulin,虫ᶠᶻ
vukeri,虫ⱽᴷ
vanes,虫ⱽᴺ
apendicit,虫垂炎
apendicektomi,虫垂除
entomolog,虫学家
oksiuricid,虫杀ᴼ
irisotomi,虹膜切
irisit,虹膜炎
irisektomi,虹膜除
astak,虾ᴬˢ
dromi,虾ᴰᴿ
krangon,虾ᴷᴺ
kril,虾ᴷᴿ
karcin,虾ᴷᶜ
leandr,虾ᴸᴺ
pandal,虾ᴾᴰ
palemon,虾ᴾᴸ
akroĥord,蛇ᴬᴷ
bungar,蛇ᴮᴺ
koronel,蛇ᴷᴺ
krajt,蛇ᴷᴿ
natrik,蛇ᴺᵀ
serpentolog,蛇学家
serpenten,蛇纹石
sufle,蛋奶酥
opal,蛋白石
mering,蛋白霜
amblistom,蛙ᴬˢ
aksolotl,蛙ᴬᴷ
ambistom,蛙ᴬᴹ
bomben,蛙ᴮᴹ
bombinator,蛙ᴮᵀ
argiop,蛛ᴬᴳ
argironet,蛛ᴬᴿ
avikulari,蛛ᴬⱽ
tegenari,蛛ᵀᴳ
araknoidit,蛛膜炎
lofi,蛤蟆鱼
barbarism,蛮主义
petazit,蜂斗菜
fulgoromorf,蜡蝉形
silen,蝇子草
ĵiĵicikad,蝉ᴶ̂
cukcukcikad,蝉ᶜᶜ
vespertilion,蝠ⱽᴸ
pieris,蝶ᴾˢ
papilion,蝶ᴾᴺ
pierid,蝶ᴾᴿ
helic,螺ᴴᶜ
spiroket,螺旋体
hemat,血ᴴᵀ
serologi,血清学
globulemi,血球血
angiom,血管瘤
skistosom,血虫ˢ
andant,行ᴬᴺ
komplement,补ᴷᴸ
esprim,表ᴱˢ
ekspresion,表ᴱᴷ
etat,表ᴱᵀ
ekspresionism,表主义
epiglot,表声门
epigrafik,表记学
epidiaskop,表通镜
kakeksi,衰ᴷᴷ
kanguru,袋鼠ᴷ
tajlor,裁ᵀᴿ
kliv,裂ᴷᴸ
bistr,褐ᴮˢ
barbaden,西番莲
reglament,规ᴿᴹ
televizi,视ᵀᶻ
kerat,角ᴷᵀ
breĉi,角砾岩
tikso,触ᵀᴷ
dialektolog,言学家
avert,警ᴬⱽ
kogn,认ᴷᴳ
konfes,认ᴷᶠ
konsili,议ᴷᴵ
parlament,议ᴾᴸ
palavr,议ᴾⱽ
ĵurnal,记ᴶ̂
grafism,记主义
grafolog,记学家
grafospasm,记抽筋
predik,讲ᴾᴰ
lic,许ᴸᴵ
disert,论ᴰᴿ
silogism,论主义
demonstr,证ᴰᴹ
depozici,证ᴰᶻ
demonstrativ,证被能
koment,评ᴷᴹ
apel,诉ᴬᴾ
terminolog,词学家
leksikologi,词汇学
leksikografi,词汇志
leksikograf,词汇记
poet,诗ᴾᵀ
poezi,诗ᴾᶻ
indukci,诱ᴵᶜ
modul,调ᴹᴰ
tonal,调ᵀᴸ
paletr,调色板
konvers,谈ᴷᴼ
koluzi,谋ᴷᴸ
komplot,谋ᴷᴹ
harmon,谐ᴴᴬ
harmoni,谐ᴴᴿ
proverbolog,谚学家
glutamat,谷氨盐
antilid,豆ᴬᴺ
azuki,豆ᴬᶻ
koronil,豆ᴷᴿ
krotalari,豆ᴷᵀ
fazeolus,豆ᶠˢ
fenugrek,豆ᶠᴺ
fazeol,豆ᶠᶻ
voandze,豆ⱽᴺ
arkiteŭt,贝ᴬᴿ
korbikul,贝ᴷᴿ
meleagren,贝ᴹᴸ
pinktad,贝ᴾᴷ
panope,贝ᴾᴾ
pekten,贝ᴾᵀ
testacel,贝ᵀˢ
tridakn,贝ᵀᴷ
kvestor,财务官
respons,责ᴿˢ
proton,质子子
ŝakr,贩ˢ̂
deprec,贬ᴰᴾ
konsistenc,贯ᴷᴺ
afrank,贴ᴬᴿ
nobel,贵ᴺᴱ
aprec,赏ᴬᶜ
gratif,赏ᴳᴿ
gratifikaci,赏ᴳᶜ
kompliment,赞ᴷᴹ
absolv,赦ᴬᴮ
hiperkrit,超临界
metamorfoz,超形症
metafizik,超物理
metatars,超足根
transformator,越形具
pod,足ᴾᴼ
tarsalgi,足根痛
ŝpur,距ˢ̂
ŝose,路ˢ̂
kik,踢ᴷᴷ
hirak,蹄兔ᴴ
aŭtobus,车ᴬᴮ
aŭtomobil,车ᴬᴹ
bicikl,车ᴮᶜ
kaleŝ,车ᴷᴸ
taksi,车ᵀᴷ
torn,车ᵀᴺ
trajektori,轨ᵀᴶ
ĝir,转ᴳ̂
relaj,转ᴿᴱ
relajs,转ᴿᴸ
transpon,转ᵀˢ
kondrit,软骨炎
kondrom,软骨瘤
kondrektomi,软骨除
ŝaft,轴ˢ̂
komparativ,较ᴷᵀ
ureter,输尿管
kajen,辣ᴷᴶ
vasabi,辣根ⱽ
diskrimin,辨ᴰᴷ
apologi,辩ᴬᴾ
diskurs,辩ᴰˢ
ekskuz,辩ᴱᴷ
polemik,辩ᴾᴹ
listel,边ᴸˢ
emigraci,迁ᴱᶜ
pase,过ᴾᴱ
preter,过ᴾᴿ
peroksid,过氧化
permanganat,过锰盐
progresi,进ᴾᴵ
telefotograf,远拍记
koneks,连ᴷˢ
konekt,连ᴷᴺ
dekadenc,退ᴰᴷ
retret,退ᴿᵀ
emeritur,退休金
adekvat,适ᴬᴰ
akomod,适ᴬᴷ
proskripci,逐ᴾᴾ
ŝerc,逗ˢ̂
rapidometr,速计ᴿ
taoism,道主义
perversi,邪ᴾᴵ
filateli,邮ᶠᴵ
parcial,部ᴾᶜ
gametofit,配子植
gametogenez,配子源
stekiometri,配比测
brand,酒ᴮᴺ
ĝin,酒ᴳ̂
ĉampan,酒ᶜ̂
vodk,酒ⱽᴰ
vinolog,酒学家
tartrat,酒石盐
enzimologi,酵素学
ekstaz,醉ᴱᴷ
gros,醋栗ᴳ
eksplik,释ᴱˢ
eksplic,释ᴱᶜ
barit,重晶石
lami,野芝麻
vici,野豌豆
fazan,野鸡ᶠ
stronci,金ˢᵀ
bismut,金ᴮˢ
bari,金ᴮᴬ
berkeli,金ᴮᴷ
berili,金ᴮᴿ
ejnŝtejni,金ᴱᴶ
gadolini,金ᴳᴰ
germanium,金ᴳᴿ
galium,金ᴳᵁ
glucini,金ᴳᶜ
holmi,金ᴴᴸ
iterbi,金ᴵᴮ
indium,金ᴵᴹ
iridi,金ᴵᴿ
itri,金ᴵᵀ
kobalt,金ᴷᴮ
kaliforni,金ᴷᴸ
kromi,金ᴷᴿ
lantan,金ᴸᴺ
luteci,金ᴸᶜ
magnezi,金ᴹᴳ
molibden,金ᴹᴸ
mendelevi,金ᴹᴺ
niob,金ᴺᴮ
neodim,金ᴺᴰ
nobeli,金ᴺᴼ
neptuni,金ᴺᴾ
osmi,金ᴼˢ
protaktini,金ᴾᴷ
prometi,金ᴾᴿ
plutoni,金ᴾᵀ
prazeodim,金ᴾᶻ
rubidi,金ᴿᴮ
reni,金ᴿᴺ
rodi,金ᴿᴼ
terbi,金ᵀᴮ
tungsten,金ᵀᴳ
tekneci,金ᵀᴷ
tuli,金ᵀᴸ
talium,金ᵀᴹ
tantal,金ᵀᴺ
cezi,金ᶜᶻ
vanad,金ⱽᴬ
volfram,金ⱽᴸ
salangan,金丝燕
akaci,金合欢
bismutat,金盐ᴮ
niobat,金盐ᴺ
reniat,金盐ᴿ
titanat,金盐ᵀ
nit,钉ᴺᵀ
madz,钉头锤
horloĝ,钟ᴴᴸ
natr,钠ᴺᴬ
kroĉet,钩ᴷᵀ
ĥelicer,钳ᴴ̂
dril,钻ᴰᴿ
fero,铁ᶠᴼ
adiant,铁线草
streptokok,链球菌
kaserol,锅ᴷˢ
akut,锐ᴬᵀ
akrocianoz,锐青症
male,锤ᴹᴸ
skop,镜ˢᴷ
lens,镜ᴸᴺ
lorn,镜ᴸᴿ
kanap,长椅ᴷ
portal,门ᴾᵀ
scintil,闪ˢᶜ
flagr,闪ᶠᴳ
interlingvist,间语家
skadr,队ˢᴰ
skadron,队ˢᴺ
profilakt,防ᴾᴿ
profilaktik,防ᴾᶠ
falus,阳具ᶠ
penisit,阴茎炎
klitorektomi,阴蒂除
vaginit,阴道炎
vaginalgi,阴道痛
kolegi,院ᴷᴸ
prior,院长ᴾ
ektomi,除ᴱᴷ
elimin,除ᴱᴸ
meteorism,陨主义
ostrakoderm,陶片皮
segregaci,隔ˢᴳ
separ,隔ˢᴿ
separat,隔ˢᵀ
obstrukc,障ᴼᴿ
kardel,雀ᴷᴿ
pirol,雀ᴾᴿ
ŝik,雅ˢ̂
koncentr,集ᴷᴺ
kolektiv,集ᴷⱽ
skulptur,雕ˢᴿ
anaglif,雕ᴬᴺ
ĉiz,雕ᶜ̂
luĝ,雪车ᴸ
seism,震ˢᴱ
seismolog,震学家
kolera,霍乱ᴷ
penicilin,青霉素
sedativ,静ˢᴰ
kalm,静ᴷᴸ
kvi,静ᴷⱽ
spaget,面ˢᴾ
fonet,音ᶠᴼ
fonetism,音主义
klimaks,顶ᴷᴷ
kulminaci,顶ᴷᶜ
vertic,顶ⱽᶜ
arkegoni,颈卵器
topik,题ᵀᴾ
titol,题ᵀᵀ
tez,题ᵀᶻ
faci,颜ᶠᶜ
kontingent,额ᴷᴺ
tifon,风ᵀᶠ
ventol,风ⱽᴸ
hiacint,风信子
reŭmatologi,风湿学
ezofagit,食管炎
ezofagoskop,食管镜
dekor,饰ᴰᴱ
pasament,饰带ᴾ
satur,饱ˢᴿ
keks,饼ᴷˢ
kraken,饼ᴷᴷ
bergamot,香柑ᴮ
origan,香草ᴼ
rosmaren,香草ᴿ
latir,香豌豆
hipogrif,马狮鹰
replik,驳ᴿᴾ
empiri,验ᴱᴹ
empir,验ᴱᴾ
empirism,验主义
mistif,骗ᴹᴵ
truk,骗ᵀᴷ
ĉarlatan,骗ᶜ̂
epifizit,骨端炎
medol,髓ᴹᴰ
altitud,高ᴬᵀ
aŭtoklav,高压锅
hipsometri,高测ᴴ
hipsometr,高计ᴴ
sukub,魔ˢᴷ
satan,魔ˢᵀ
demon,魔ᴰᴹ
serasalm,鱼ˢˢ
simbrank,鱼ˢᴬ
sebast,鱼ˢᴮ
sardin,鱼ˢᴰ
seriol,鱼ˢᴱ
sturg,鱼ˢᴳ
silur,鱼ˢᴵ
skombr,鱼ˢᴷ
salvelen,鱼ˢᴸ
salm,鱼ˢᴹ
salmon,鱼ˢᴺ
spar,鱼ˢᴾ
seran,鱼ˢᴿ
surmulet,鱼ˢᵀ
skvaten,鱼ˢⱽ
aland,鱼ᴬᴰ
akantias,鱼ᴬᴷ
aloz,鱼ᴬᴸ
acipenser,鱼ᴬᴾ
anarik,鱼ᴬᴿ
anchov,鱼ᴬᶜ
barbi,鱼ᴮᴮ
blakbas,鱼ᴮᴸ
brosm,鱼ᴮᴹ
bonit,鱼ᴮᴺ
bops,鱼ᴮᴾ
eglefin,鱼ᴱᴳ
ekzocet,鱼ᴱᴷ
engraŭl,鱼ᴱᴺ
eperlan,鱼ᴱᴾ
gad,鱼ᴳᴰ
ĥondrostom,鱼ᴴ̂
iktio,鱼ᴵᴷ
kobitid,鱼ᴷᴮ
kondrostom,鱼ᴷᴰ
kalmar,鱼ᴷᴹ
kongr,鱼ᴷᴺ
korifen,鱼ᴷᴿ
labrak,鱼ᴸᴷ
lamn,鱼ᴸᴹ
lampetr,鱼ᴸᴾ
latimeri,鱼ᴸᵀ
leptocefal,鱼ᴸᶜ
misgurn,鱼ᴹˢ
mugil,鱼ᴹᴳ
miksin,鱼ᴹᴷ
mola,鱼ᴹᴸ
muren,鱼ᴹᴺ
molv,鱼ᴹⱽ
nemakejl,鱼ᴺᴹ
prist,鱼ᴾˢ
pagr,鱼ᴾᴬ
pagel,鱼ᴾᴳ
pilĉard,鱼ᴾᴸ
piranj,鱼ᴾᴺ
petromiz,鱼ᴾᵀ
remor,鱼ᴿᴹ
rutel,鱼ᴿᵀ
turbot,鱼ᵀᴮ
trakin,鱼ᵀᴷ
timal,鱼ᵀᴹ
tinn,鱼ᵀᴺ
trigl,鱼ᵀᴿ
trut,鱼ᵀᵀ
ĉot,鱼ᶜ̂
foksen,鱼ᶠᴷ
zoarc,鱼ᶻᴿ
iĥtiolog,鱼学家
karas,鲤ᴷˢ
kajman,鳄ᴷᴶ
saksikol,鸟ˢˢ
ŝtern,鸟ˢ̂
streptopeli,鸟ˢᴱ
sit,鸟ˢᴵ
sterkorari,鸟ˢᴷ
sul,鸟ˢᴸ
somateri,鸟ˢᴹ
serpentari,鸟ˢᴺ
sirapt,鸟ˢᴾ
serin,鸟ˢᴿ
sturn,鸟ˢᵀ
alka,鸟ᴬᴬ
albatros,鸟ᴬᴮ
agami,鸟ᴬᴳ
alced,鸟ᴬᴸ
antus,鸟ᴬᴺ
apterig,鸟ᴬᴾ
alektor,鸟ᴬᴿ
avocet,鸟ᴬⱽ
bobolink,鸟ᴮᴮ
bukorak,鸟ᴮᴷ
bombicil,鸟ᴮᴹ
bantam,鸟ᴮᴺ
bernikl,鸟ᴮᴿ
bucer,鸟ᴮᶜ
bufag,鸟ᴮᶠ
bonazi,鸟ᴮᶻ
dromaj,鸟ᴰᴶ
diomede,鸟ᴰᴹ
dromice,鸟ᴰᴿ
emu,鸟ᴱᴹ
galinag,鸟ᴳᴺ
gip,鸟ᴳᴾ
guf,鸟ᴳᶠ
hipsipet,鸟ᴴˢ
ĥaradri,鸟ᴴ̂
himantopod,鸟ᴴᴰ
haliaet,鸟ᴴᴸ
hematop,鸟ᴴᴹ
himantop,鸟ᴴᴺ
jabiru,鸟ᴶᴮ
kreks,鸟ᴷˢ
katart,鸟ᴷᴬ
kolibr,鸟ᴷᴮ
karduel,鸟ᴷᴰ
karadri,鸟ᴷᴵ
kokotraŭst,鸟ᴷᴷ
kalidr,鸟ᴷᴸ
kormoran,鸟ᴷᴹ
kairin,鸟ᴷᴺ
kondor,鸟ᴷᴼ
krek,鸟ᴷᴿ
kiti,鸟ᴷᵀ
kuruk,鸟ᴷᵁ
koraci,鸟ᴷᶜ
kvecal,鸟ᴷⱽ
lagopod,鸟ᴸᴰ
lagop,鸟ᴸᴳ
lokustel,鸟ᴸᴷ
limoz,鸟ᴸᴹ
lori,鸟ᴸᴿ
litorn,鸟ᴸᵀ
merl,鸟ᴹᴱ
mergul,鸟ᴹᴳ
melopsitak,鸟ᴹᴸ
merĝ,鸟ᴹᴿ
motacil,鸟ᴹᵀ
nikte,鸟ᴺᴷ
numeni,鸟ᴺᴹ
nucifrag,鸟ᴺᶜ
neofron,鸟ᴺᶠ
oriol,鸟ᴼᴸ
perisore,鸟ᴾˢ
platale,鸟ᴾᴬ
perdrik,鸟ᴾᴰ
pterokl,鸟ᴾᴱ
pirokorak,鸟ᴾᴵ
pinikol,鸟ᴾᴷ
pelikan,鸟ᴾᴸ
pronel,鸟ᴾᴺ
porfiri,鸟ᴾᴼ
pipi,鸟ᴾᴾ
pirul,鸟ᴾᴿ
petrel,鸟ᴾᵀ
ploce,鸟ᴾᶜ
pufin,鸟ᴾᶠ
pluvi,鸟ᴾⱽ
tanagr,鸟ᵀᴬ
tadorn,鸟ᵀᴰ
tangar,鸟ᵀᴳ
tinunkol,鸟ᵀᴷ
tinam,鸟ᵀᴺ
tring,鸟ᵀᴿ
tetraon,鸟ᵀᵀ
uri,鸟ᵁᴿ
ĉeti,鸟ᶜ̂
cinkl,鸟ᶜᴺ
certi,鸟ᶜᴿ
cirkaet,鸟ᶜᵀ
cirku,鸟ᶜᵁ
frankolin,鸟ᶠᴷ
fulmar,鸟ᶠᴸ
fenikur,鸟ᶠᴺ
falaropod,鸟ᶠᴿ
fenikopter,鸟ᶠᵀ
ornitolog,鸟学家
neoti,鸟巢兰
koktel,鸡尾酒
kantarel,鸡油菌
kvak,鸣ᴷᴷ
kuku,鸣ᴷᵁ
ĉirp,鸣ᶜ̂
kornik,鸦ᴷᴺ
teba,鸦片ᵀ
kakatu,鹦ᴷᴷ
maltoz,麦芽糖
narkotik,麻ᴺᴷ
narkoz,麻ᴺᶻ
efedrin,麻黄碱
flavin,黄ᶠᴺ
hesperornit,黄昏鸟
buterat,黄油被
buterometr,黄油计
pirit,黄铁矿
tombak,黄铜ᵀ
negr,黑ᴺᴱ
smut,黑穗病
timbal,鼓ᵀᴸ
timpanit,鼓室炎
miringotomi,鼓膜切
miringit,鼓膜炎
skunk,鼠ˢᴷ
arvikol,鼠ᴬᴿ
dolikot,鼠ᴰᴸ
leming,鼠ᴸᴹ
mustel,鼠ᴹˢ
mikrot,鼠ᴹᴷ
mel,鼠ᴹᴸ
muskarden,鼠ᴹᴿ
miokastor,鼠ᴹᵀ
mefit,鼠ᴹᶠ
oposum,鼠ᴼᴾ
ĉinĉil,鼠ᶜ̂
salvi,鼠尾草
nazal,鼻ᴺᴸ
rostr,鼻ᴿˢ
dental,齿ᴰᴸ
